%rows_marked,#columns_marked,robustness_horizontal,robustness_vertical,robustness_flipping,utility_loss_best,utility_loss_2nd_best
0.1111111111111111,4,0.6,0.2,0.3,0.0044759114583333105,0.004177631578947273
0.1111111111111111,8,0.65,0.2,0.3,0.00607096354166654,0.0028453947368421934
0.1111111111111111,12,0.65,0.3,0.2,0.00631510416666655,0.0030427631578946574
0.1111111111111111,16,0.65,0.3,0.2,0.003808593749999942,0.0021217105263158114
0.1111111111111111,20,0.65,0.35,0.25,0.0030436197916666567,0.0034210526315790087
0.1,4,0.6,0.25,0.15,0.007535807291666596,0.00411184210526307
0.1,8,0.6,0.3,0.25,0.0051757812500000805,0.0029276315789474113
0.1,12,0.6,0.3,0.2,0.005273437499999998,0.0026480263157894375
0.1,16,0.6,0.35,0.2,0.004410807291666651,0.0020888157894736366
0.1,20,0.6,0.35,0.15,0.004638671875000031,0.0031414473684211815
0.08333333333333333,4,0.5,0.1,0.25,0.0049967447916665865,0.0035690789473684296
0.08333333333333333,8,0.5,0.15,0.15,0.005810546875000047,0.0027467105263158154
0.08333333333333333,12,0.5,0.2,0.2,0.0047363281249999485,0.0021710526315788545
0.08333333333333333,16,0.5,0.3,0.15,0.0039550781250000345,0.0013980263157894292
0.08333333333333333,20,0.5,0.25,0.15,0.004150390625000013,0.0019407894736842158
0.06666666666666667,4,0.4,0.05,0.1,0.005305989583333255,0.0025822368421052344
0.06666666666666667,8,0.4,0.15,0.15,0.005468749999999976,0.0022203947368421894
0.06666666666666667,12,0.4,0.15,0.15,0.005940755208333366,0.0011513157894736305
0.06666666666666667,16,0.4,0.15,0.1,0.004329427083333218,0.001381578947368415
0.06666666666666667,20,0.4,0.2,0.1,0.0036295572916667366,0.0017598684210526204
0.05555555555555555,4,0.25,0.1,0.05,0.007047526041666577,0.0026973684210526267
0.05555555555555555,8,0.25,0.05,0.05,0.005843098958333304,0.0016282894736840677
0.05555555555555555,12,0.25,0.1,0.05,0.004329427083333362,0.0015789473684208787
0.05555555555555555,16,0.25,0.05,0.05,0.0042968749999999604,0.0006907894736843536
0.05555555555555555,20,0.25,0.1,0.05,0.004785156249999979,0.0019736842105263904
